,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
35,81 Raymond St,"Hicksville, NY 11801",579990,6,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Detached",,1921.0,,Residential,Single Family Residence,,A,Active,,3290018,East Street School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.11,106,128,N2489-12-106-00-0128-0,9001.0
36,2 Lawrence St,"Hicksville, NY 11801",609000,41,,,4.0,2.0,2.0,,Hardwood,2.0,"Private,Detached,Driveway,On Street",,1950.0,,Residential,Single Family Residence,,A,Active,,3281979,,Hicksville,,Hicksville,,Hicksville,0.2,476,2,N2489-46-476-00-0002-0,11000.0
37,135 E Marie St,"Hicksville, NY 11801",499000,27,,,2.0,2.0,2.0,,,,"Private,Driveway",,1920.0,,Residential,Single Family Residence,,A,Active,,3285187,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.11,106,5,N2489-12-106-00-0005-0,8512.0
38,33 Petal Ln,"Hicksville, NY 11801",669000,20,,,4.0,2.0,2.0,,,,"Private,Driveway",,1948.0,,Residential,Single Family Residence,,A,Active,,3286859,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,322,21,N2489-45-322-00-0021-0,11456.0
39,2 Howard St,"Hicksville, NY 11801",817777,4,,,5.0,2.0,2.0,,Hardwood,2.0,"Private,Detached",,1940.0,,Residential,Single Family Residence,,A,Active,,3287114,Woodland Avenue School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.28,71,106,N2489-12-071-00-0106-0,1752.0
40,180 Lee Ave,"Hicksville, NY 11801",579999,36,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Detached,Driveway",,1949.0,,Residential,Single Family Residence,,A,Active,,3283177,,Hicksville,,Hicksville,,Hicksville,0.14,376,6,N2489-46-376-00-0006-0,10436.0
41,38 Chestnut St,"Hicksville, NY 11801",650000,51,,,4.0,2.0,2.0,,Wall To Wall Carpet,1.0,"Private,Detached",,1950.0,,Residential,Single Family Residence,,A,Active,,3279746,East Street School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.11,252,72,N2489-12-252-00-0072-0,7534.0
42,12 Croyden Ln,"Hicksville, NY 11801",639000,13,,,4.0,3.0,3.0,,,3.0,"Private,Attached",,1954.0,,Residential,Single Family Residence,,A,Active,,3288410,Fork Lane School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,528,21,N2489-45-528-00-0021-0,11545.0
43,90 N Fordham Rd,"Hicksville, NY 11801",1025000,99,,,5.0,4.0,3.0,,,1.0,"Private,Detached",,2020.0,,Residential,Single Family Residence,,A,Active,,3267072,,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.14,,,,
44,23 Lenore Ave,"Hicksville, NY 11801",1248000,54,,,5.0,5.0,4.0,,Hardwood,1.0,"Private,Attached,Driveway",,2021.0,,Residential,Single Family Residence,,A,Active,,3279192,,Hicksville,,Hicksville,,Hicksville,0.19,413,34,N2489-46-413-00-0034-0,
45,200 Woodbury Rd,"Hicksville, NY 11801",1150000,42,,,5.0,3.0,3.0,,"Hardwood, Wall To Wall Carpet",3.0,"Private,Detached",,1912.0,,Residential Income,Multi Family,,A,Active,,3185621,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.47,305,49,N2489-12-305-00-0049-0,15980.0
46,88 Autumn Dr,"Plainview, NY 11803",545000,99,,,2.0,2.0,2.0,,,,"Assigned,No Garage",,2007.0,,Residential,Condominium,,A,Active,,3253348,,Plainview,Plainview-Old Bethpage Middle Sch,Plainview,,Plainview,,117,42U,N2489-13-117-00-0042-Uca023100088,13204.0
47,39 West Ave,"Hicksville, NY 11801",479000,84,,,3.0,1.0,1.0,,,,Private,,1942.0,,Residential,Single Family Residence,,A,Active,,3274204,,Hicksville,,Hicksville,,Hicksville,0.23,44,165,N2489-45-044-00-0165-0,5528.0
48,11 Arcadia Ln,"Hicksville, NY 11801",600100,60,,,4.0,2.0,2.0,,,,"Private,Driveway",,1948.0,,Residential,Single Family Residence,,A,Active,,3225236,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,359,40,N2489-45-359-00-0040-0,9366.0
49,74 Kuhl Ave,"Hicksville, NY 11801",999000,26,,,5.0,4.0,4.0,,Hardwood,,Private,,2021.0,,Residential,Single Family Residence,,A,Active,,3285516,Burns Avenue School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.11,,,,9034.0
50,36 Spindle Rd,"Hicksville, NY 11801",949100,70,,,5.0,4.0,3.0,,,,Private,,2020.0,,Residential,Single Family Residence,,A,Active,,3276475,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,248,27,N2489-45-290-00-0035-0,
51,315 Jerusalem Ave,"Levittown, NY 11756",777000,78,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3275239,,Levittown,,Levittown,,Levittown,0.49,271,34,N2089-45-271-00-0034-0,19121.0
52,22 Monroe Ave,"Hicksville, NY 11801",629000,1,,,4.0,2.0,1.0,,Hardwood,2.0,"Private,Attached,Driveway,Off Street",,1955.0,,Residential,Single Family Residence,,A,Active,,3291383,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,66,264,N2489-45-066-00-0264-0,10665.0
53,2 Walnut Ln,"Hicksville, NY 11801",568888,13,,,5.0,2.0,2.0,,Hardwood,,Private,,1948.0,,Residential,Single Family Residence,,A,Active,,3288469,,Hicksville,,Hicksville,,Hicksville,0.23,301,1,N2489-45-301-00-0001-0,9612.0
54,15 Acre Ln,"Hicksville, NY 11801",969000,81,,,5.0,3.0,3.0,,Hardwood,1.0,"Private,Attached",,2020.0,,Residential,Single Family Residence,,A,Active,,3271969,,Hicksville,,Hicksville,,Hicksville,0.14,359,18,N2489-45-359-00-0018-0,9761.0
55,73 Thorman Ave,"Hicksville, NY 11801",628888,26,,,5.0,3.0,3.0,,,2.0,"Private,Detached",,1946.0,,Residential,Single Family Residence,,A,Active,,3283665,,Hicksville,,Hicksville,,Hicksville,0.14,,,,10011.0
56,35 Lex Ave,"Plainview, NY 11803",588000,4,,,3.0,2.0,1.0,,Hardwood,1.0,"Private,Attached,Driveway",,1955.0,,Residential,Single Family Residence,,A,Active,,3290661,Kramer Lane Elementary School,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.14,558,19,N2489-46-558-00-0019-0,10399.0
57,26 Venus Rd,"Syosset, NY 11791",685000,3,,,3.0,3.0,2.0,,,2.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3290821,Baylis Elementary School,Syosset,H B Thompson Middle School,Syosset,,Syosset,30.0,456,13,,21440.0
58,26 Booth Ln,"Levittown, NY 11756",469000,1,,,4.0,1.0,1.0,,,,Private,,1948.0,,Residential,Single Family Residence,,A,Coming_Soon,,3291284,,East Meadow,,East Meadow,,East Meadow,0.22,342,7,N2089-45-342-00-0007-0,11566.0
59,18 Amber Ct,"Westbury, NY 11590",729000,5,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached,Driveway",,1964.0,,Residential,Single Family Residence,,A,Active,,3290189,Burns Avenue School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.27,413,46A & 46B,N2489-11-413-00-0046-A,14447.0
60,32 College Ln,"Westbury, NY 11590",720000,28,,,5.0,2.0,2.0,,Hardwood,,"Private,Driveway,No Garage",,1950.0,,Residential,Single Family Residence,,A,Active,,3285088,Bowling Green School,East Meadow,Clarke Middle School,East Meadow,,East Meadow,0.14,397,18,N2089-45-397-00-0018-0,15009.0
61,191 Birchwood Park Dr,"Jericho, NY 11753",950000,1,,,3.0,2.0,2.0,,,1.0,"Private,Attached",,1958.0,,Residential,Single Family Residence,,A,Active,,3290941,George A Jackson School,Jericho,Jericho Middle School,Jericho,,Jericho,0.27,550,13,N2489-12-550-00-0013-0,21643.0
62,93 Bobolink Ln,"Levittown, NY 11756",429000,25,,,4.0,2.0,1.0,,,1.0,"Private,Attached",,1951.0,,Residential,Single Family Residence,,A,Active,,3285926,Northside School,Levittown,Wisdom Lane Middle School,Levittown,,Levittown,0.14,252,20,N2089-45-252-00-0020-0,9561.0
63,12 Potter Ln,"Levittown, NY 11756",545000,1,,,4.0,2.0,1.0,,,1.0,"Private,Attached",,1950.0,,Residential,Single Family Residence,,A,Active,,3291174,,Levittown,,Levittown,,Levittown,0.18,269,12,N2089-45-269-00-0012-0,12521.0
64,30 Hardy Ln,"Westbury, NY 11590",890000,7,,,5.0,2.0,2.0,,Hardwood,,Driveway,,1948.0,,Residential,Single Family Residence,,A,Active,,H6097759,Call Listing Agent,East Meadow,Clarke Middle School,East Meadow,,East Meadow,0.2,,,2089-45-416-00-0011-0,16990.0
65,61 Lincoln Rd W,"Plainview, NY 11803",548888,4,,,3.0,2.0,2.0,,Hardwood,,Private,,1953.0,,Residential,Single Family Residence,,A,Active,,3290500,,Plainview,,Plainview,,Plainview,0.14,516,15,N2489-46-516-00-0015-0,11150.0
66,8 Clover Ln,"Westbury, NY 11590",525000,12,,,3.0,2.0,2.0,,,1.0,"Private,Detached",,1948.0,,Residential,Single Family Residence,,A,Active,,3288785,,Westbury,,Westbury,,Westbury,0.14,112,836,N2289-11-112-00-0836-0,8529.0
67,8 Ceil Pl,"Bethpage, NY 11714",498888,1,,,4.0,2.0,2.0,,,1.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Coming_Soon,,3290993,Central Boulevard Elementary School,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.14,484,79,N2489-46-484-00-0079-0,9369.0
68,21 Peony Rd,"Levittown, NY 11756",499000,13,,,3.0,2.0,1.0,,,1.0,"Private,Attached,Driveway,On Street",,1948.0,,Residential,Single Family Residence,,A,Active,,3288392,Northside School,Levittown,Wisdom Lane Middle School,Levittown,,Levittown,0.14,196,21,N2089-45-196-00-0021-0,10756.0
69,872 Grand Blvd,"Westbury, NY 11590",599000,1,,,6.0,2.0,2.0,,,1.0,"Private,Detached,Driveway,On Street",,1950.0,,Residential,Single Family Residence,,A,Active,,3290974,,East Meadow,Clarke Middle School,East Meadow,,East Meadow,0.15,19,68,N2089-45-019-00-0068-0,10857.0
70,17 Garynson Ct,"Plainview, NY 11803",715000,1,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway",,1962.0,,Residential,Single Family Residence,,A,Active,,3291110,Kramer Lane Elementary School,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.2,143,240,N2489-46-143-00-0240-0,11632.0
71,41 Bobolink Ln,"Levittown, NY 11756",549000,1,,,4.0,2.0,2.0,,,2.0,"Private,Attached,Driveway,Garage",,1950.0,,Residential,Single Family Residence,,A,Coming_Soon,,3291185,,Levittown,,Levittown,,Levittown,0.14,250,3,N2089-45-250-00-0003-0,17030.0
72,2 Ruth Rd,"Plainview, NY 11803",725000,1,,,4.0,3.0,2.0,,,1.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Coming_Soon,,3291216,Stratford Road School,Plainview,,Plainview,,Plainview,0.16,442,17,N2489-12-442-00-0017-0,16490.0
73,57 Nassau Ave,"Plainview, NY 11803",549000,19,,,4.0,2.0,2.0,,Hardwood,1.0,"Private,Detached",,1955.0,,Residential,Single Family Residence,,A,Active,,3287246,Pasadena Elementary School,Plainview,Plainview-Old Bethpage Middle Sch,Plainview,,Plainview,0.11,34,1,N2489-12-034-00-0001-0,12544.0
74,10 Celestial Ln,"Levittown, NY 11756",495000,47,,,5.0,2.0,2.0,,Wall To Wall Carpet,1.0,"Private,Attached,Driveway",,1951.0,,Residential,Single Family Residence,,A,Active,,3280673,,Island Trees,,Island Trees,,Island Trees,0.14,408,5,N2089-46-408-00-0005-0,9920.0
75,11 Yates Ln,"Jericho, NY 11753",1198000,12,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1959.0,,Residential,Single Family Residence,,A,Active,,3288574,Cantiague Elementary School,Jericho,Jericho Middle School,Jericho,,Jericho,0.25,438,5,,20804.0
76,8 Ulster Dr,"Jericho, NY 11753",1180000,8,,,5.0,4.0,3.0,,Hardwood,,"Private,Driveway",,1959.0,,Residential,Single Family Residence,,A,Active,,3289381,Cantiague Elementary School,Jericho,Jericho Middle School,Jericho,,Jericho,0.23,457,12,N2489-11-457-00-0012-0,20880.0
77,866 Plum Tree Rd E,"Westbury, NY 11590",729999,11,,,4.0,3.0,3.0,,,1.0,"Private,Attached,Driveway",,1952.0,,Residential,Single Family Residence,,A,Active,,3288955,Bowling Green School,East Meadow,,East Meadow,,East Meadow,0.14,439,9,N2089-45-439-00-0009-0,8500.0
78,9 Meadowood Dr,"Jericho, NY 11753",679000,7,,,3.0,3.0,2.0,,"Hardwood, Wall To Wall Carpet",1.0,"Attached,Driveway",,1982.0,,Residential,Condominium,,A,Active,,3289700,Robert Seaman Elementary School,Jericho,Jericho Middle School,Jericho,,Jericho,10.31,15,29,N2489-17-015-00-0029-Uca006100009,14738.0
79,18 Walden Ave,"Jericho, NY 11753",1188000,12,,,4.0,3.0,2.0,,Hardwood,1.0,"Private,Attached",,1954.0,,Residential,Single Family Residence,,A,Active,,3288684,George A Jackson School,Jericho,Jericho Middle School,Jericho,,Jericho,0.17,220,85,N2489-12-220-00-0085-0,19086.0
80,107 Cypress Ln E,"Westbury, NY 11590",529000,99,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway",,1948.0,,Residential,Single Family Residence,,A,Active,,3262945,,East Meadow,,East Meadow,,East Meadow,0.22,390,11A,N2089-45-390-00-0011-A,12086.0
81,12 Hunter Ln,"Levittown, NY 11756",624990,8,,,4.0,2.0,2.0,,,,"Private,Driveway",,1949.0,,Residential,Single Family Residence,,A,Active,,3289337,"J Fred Sparke School, Michael F Stokes School",Island Trees,Island Trees Middle School,Island Trees,,Island Trees,0.14,434,5,N2089-46-434-00-0005-0,9655.0
82,33 Hollywood Dr,"Plainview, NY 11803",999000,8,,,4.0,4.0,3.0,,"Hardwood, Wall To Wall Carpet",2.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3289370,Pasadena Elementary School,Plainview,Plainview-Old Bethpage Middle Sch,Plainview,,Plainview,0.16,450,32,N2489-12-450-00-0032-0,20571.0
83,2 Newcastle Ave,"Plainview, NY 11803",699900,8,,,3.0,2.0,1.0,,Hardwood,1.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3289344,,Plainview,,Plainview,,Plainview,0.18,472,13,N2489-12-472-00-0013-0,15298.0
84,284 Blacksmith Rd,"Levittown, NY 11756",490000,38,,,4.0,2.0,2.0,,,1.0,"Private,Attached",,1952.0,,Residential,Single Family Residence,,A,Active,,3282930,Northside School,Levittown,Wisdom Lane Middle School,Levittown,,Levittown,0.19,311,22,N2089-45-311-00-0022-0,14422.0
85,12 Cameo Ln,"Westbury, NY 11590",639999,6,,,5.0,3.0,2.0,,,,Private,,1948.0,,Residential,Single Family Residence,,A,Active,,3289897,,East Meadow,,East Meadow,,East Meadow,0.14,394,4,N2089-45-394-00-0004-0,12024.0
